Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
201401,26,182.88,77.1,68,71,925000,1,2,66,21,58,60,27,58,51,45,52,63,70,73,72,63,69,55,72,67,67,63,68,70,22,37,48,58,65,70,73,15,7,12,10,14
197817,32,185.42,84.8,68,68,600000,1,2,22,35,68,43,25,38,34,37,59,50,47,51,44,61,42,63,74,47,83,36,70,68,32,45,35,61,69,68,64,15,12,7,12,15
183480,28,187.96,77.1,68,68,700000,1,3,61,35,65,65,28,64,50,45,62,67,74,77,64,62,67,65,63,74,69,47,68,64,55,47,39,57,64,66,70,6,15,11,15,8
238008,23,195.58,82.1,68,72,975000,1,2,21,21,65,63,24,44,25,21,67,58,54,57,39,65,35,34,71,72,72,18,75,65,21,33,34,58,69,66,65,8,10,15,7,6
232376,29,152.4,77.1,68,68,900000,1,2,58,51,59,68,48,60,51,58,69,67,73,69,67,66,65,67,66,75,77,61,71,66,62,68,61,66,66,66,61,10,11,11,11,6
232120,22,152.4,73,68,77,1200000,1,3,66,47,55,65,45,66,48,35,58,67,78,79,73,69,66,64,71,68,68,58,56,66,58,48,46,56,59,65,70,6,15,11,13,12
192439,31,182.88,68.9,68,68,825000,1,3,54,58,68,68,29,66,43,64,63,67,78,69,85,72,59,68,83,93,76,60,69,53,67,65,54,68,55,64,61,7,10,12,7,16
233911,23,167.64,67.1,68,75,1100000,1,2,71,35,47,58,22,55,60,51,57,67,82,78,80,64,84,69,80,81,33,49,72,64,49,47,39,56,55,62,68,5,8,6,9,5
209335,25,187.96,77.1,68,72,975000,1,3,70,54,44,64,23,63,67,68,62,64,72,76,66,64,68,76,69,83,71,58,60,62,58,64,51,64,65,66,66,11,7,12,12,15
208311,26,154.94,73.9,68,69,1000000,1,3,59,43,60,72,44,66,57,52,70,70,73,68,69,68,72,64,64,75,69,57,68,65,59,67,54,64,62,61,61,15,7,10,15,15
