Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
208914,33,185.42,76.2,71,71,1400000,1,2
184337,30,170.18,64.9,71,71,2200000,1,3
205585,26,170.18,68.9,71,74,2500000,1,2
52752,33,152.4,69.9,71,71,1400000,2,3
178448,33,172.72,68,71,71,1400000,1,3
230672,22,187.96,74.8,71,80,3200000,1,2
163600,32,193.04,97.1,71,71,1400000,2,1
215568,24,185.42,79.8,71,77,3200000,1,4
16,38,152.4,64.9,71,71,750000,1,3
36111,36,152.4,69.9,71,71,325000,1,2
143119,36,152.4,83.9,71,71,850000,2,2
203279,27,165.1,68.9,71,72,2800000,1,3
181006,32,152.4,69.9,71,71,1600000,1,3
215309,28,187.96,74.8,71,71,2500000,1,3
200461,29,175.26,69.9,71,71,2400000,1,3
189451,31,190.5,92.1,71,71,2300000,1,3
222475,22,185.42,72.1,71,77,3200000,1,2
211723,26,187.96,82.1,71,74,2500000,1,2
241162,21,167.64,68,71,80,3700000,1,3
223498,22,152.4,78,71,80,3200000,1,3
222986,31,182.88,76.2,71,71,1600000,1,2
220938,25,170.18,69.9,71,73,2900000,1,4
149258,36,187.96,83,71,71,550000,1,1
